"PLAN","Levy","Application ID","Decision","Application Description","Short Description","locality","AssessedBy","DeterminedBy","ApprovalDate","ApprovalYear","Property_No","Purpose","BALANCE","LEVIED","PAID"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA04/0525","Approved","2 lot subdivision","2 lot subdivision","TWEED HEADS SOUTH","DevUnit",,,2004,"5035","Open Space","2840","2840","-496"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA04/0660","Approved","2 lot subdivision and filling of land","2 lot subdivision and filling of land","TWEED HEADS SOUTH","DevUnit",,,2004,"5034","Open Space","0","1571","1571"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA04/1113","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2004,"4125","Open Space","0","813","813"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA04/1203","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2004,"4409","Open Space","0","813","813"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA05/0359","Approved","attached dual occupancy","attached dual occupancy","BANORA POINT","DevUnit",,,2005,"4266","Open Space","0","813","813"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA05/0442","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2005,"1014","Open Space","0","813","813"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA05/0797","Approved","attached dual occupancy","attached dual occupancy","BANORA POINT","DevUnit",,,2005,"9990","Open Space","0","813","813"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA05/0821","Approved","attached dual occupancy","attached dual occupancy","BANORA POINT","DevUnit",,,2005,"4463","Open Space","0","813","813"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA05/1442","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2006,"1019","Open Space","0","813","813"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA05/1443","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2006,"1019","Open Space","0","813","813"
