Account Number,Plan Description,Balance,Plan Description,Sector Description ,DataDate,Activity Description,Plan,Activity,Sector,Sector Desc
16.12.00,Surf Lifesaving,-624581.29,16-Surf Lifesaving,No Sector,26/08/2024,Surf Lifesaving,16,12,00,No Sector
16.12.02,Surf Lifesaving,19909.91,16-Surf Lifesaving,Sector 2,26/08/2024,Surf Lifesaving,16,12,02,Sector 2
16.12.02,Surf Lifesaving,502343.35,16-Surf Lifesaving,Sector 2,26/08/2024,Surf Lifesaving,16,12,02,Sector 2
18.13.00,Council Admin - Tech Support,-77462.57,18-Council Admin - Tech Support,No Sector,26/08/2024,Council Technical/Admin. Facilities,18,13,00,No Sector
18.13.00,Council Admin - Tech Support,-348535.7,18-Council Admin - Tech Support,No Sector,26/08/2024,Council Technical/Admin. Facilities,18,13,00,No Sector
18.13.00,Council Admin - Tech Support,401402.31,18-Council Admin - Tech Support,No Sector,26/08/2024,Council Technical/Admin. Facilities,18,13,00,No Sector
18.13.00,Council Admin - Tech Support,17422.35,18-Council Admin - Tech Support,No Sector,26/08/2024,Council Technical/Admin. Facilities,18,13,00,No Sector
18.13.00,Council Admin - Tech Support,-1779403.61,18-Council Admin - Tech Support,No Sector,26/08/2024,Council Technical/Admin. Facilities,18,13,00,No Sector
19.05.00,Kings Beach,-6449.27,19-Kings Beach,No Sector,26/08/2024,Open Space,19,05,00,No Sector
19.05.00,Kings Beach,-3835.46,19-Kings Beach,No Sector,26/08/2024,Open Space,19,05,00,No Sector
19.05.00,Kings Beach,191.77,19-Kings Beach,No Sector,26/08/2024,Open Space,19,05,00,No Sector
19.05.00,Kings Beach,-160517.23,19-Kings Beach,No Sector,26/08/2024,Open Space,19,05,00,No Sector
19.06.00,Kings Beach,-69985.91,19-Kings Beach,No Sector,26/08/2024,Community Facilities,19,06,00,No Sector
19.06.00,Kings Beach,-4736.07,19-Kings Beach,No Sector,26/08/2024,Community Facilities,19,06,00,No Sector
19.06.00,Kings Beach,236.8,19-Kings Beach,No Sector,26/08/2024,Community Facilities,19,06,00,No Sector
19.06.00,Kings Beach,-1762896.52,19-Kings Beach,No Sector,26/08/2024,Community Facilities,19,06,00,No Sector
