site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 582,QUARRY ROAD south of LUNDBERG DRIVE,"-28.330739, 153.41537",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 582,South Murwillumbah,RD.1072.40.A,Quarry Road,South Murwillumbah
Site 583,BAKERS ROAD at No 117,"-28.350228, 153.390875",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 583,Dunbible,RD.57.10.A,Bakers Road,Dunbible
Site 584,BRETT STREET east of BOYD STREET,"-28.177786, 153.540304",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 584,Tweed Heads,RD.167.20.A,Brett Street,Tweed Heads
Site 585,BRETT STREET west of BOYD STREET @ No 4,"-28.177412, 153.539049",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 585,Tweed Heads,RD.167.20.A,Brett Street,Tweed Heads
Site 586,BYANGUM ROAD west of MYRTLE STREET @ No86,"-28.331136, 153.384786",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 586,Murwillumbah,RD.196.90.A.1,Byangum Road,Murwillumbah
Site 390,POWELL STREET north of FLORENCE STREET,"-28.176028, 153.544319",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 390,Tweed Heads,RD.1062.20.A,Powell Street,Tweed Heads
Site 587,DURANBAH ROAD at No 36,"-28.283922, 153.522045",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 587,Duranbah,RD.429.10.A,Duranbah Road,Duranbah
Site 588,OVERALL DRIVE at No 71,"-28.401151, 153.562748",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 588,Pottsville,RD.932.60.A,Overall Drive,Pottsville
Site 589,OYSTER POINT ROAD at No 25,"-28.215334, 153.550286",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 589,Banora Point,RD.937.30.A,Oyster Point Road,Banora Point
Site 591,M.R.450 COAST ROAD at No 62 POTTSVILLE,"-28.381099, 153.568031",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 591,Pottsville,RD.2184.145.A,Tweed Coast Road,Pottsville
Site 592,M.R.679 Tweed Valley Way north of CRABBES CREEK ROAD,"-28.453954, 153.498519",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 592,Crabbes Creek,RD.2194.9010.A,Tweed Valley Way,Crabbes Creek
Site 593A,HILLCREST AVE at  No 80,"-28.2052, 153.517066",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 593A,Tweed Heads South,RD.601.10.A,Hillcrest Avenue,Tweed Heads South
Site 594,ALTAIR STREET at No 38,"-28.196234, 153.547844",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 594,Tweed Heads,RD.20.10.A.1,Altair Street,Tweed Heads South
Site 595,CLOTHIERS CREEK ROAD at No 720,"-28.332491, 153.486198",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 595,Clothiers Creek,RD.279.100.A.1,Clothiers Creek Road,Clothiers Creek
Site 596,COOLOON CRESCENT TWEED HEADS at No 39,"-28.197021, 153.547359",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 596,Tweed Heads,RD.335.20.A,Cooloon Crescent,Tweed Heads South
Site 400,QUIGAN STREET at No 6,"-28.259771, 153.57699",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 400,Kingscliff,RD.1077.10.A,Quigan Street,Kingscliff
Site 597,CUDGEN ROAD at No 529 north of Fruit Stall,"-28.271501, 153.545119",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 597,Stotts Creek,RD.365.90.A,Cudgen Road,Cudgen
Site 598B,M.R.679 Tweed Valley Way north of CANE ROAD,"-28.314039, 153.435889",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 598B,Condong,RD.2194.9290.A,Tweed Valley Way,Condong
Site 599A,BROADWAY at No 35,"-28.434705, 153.469397",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 599A,Burringbar,RD.189.10.A,Burringbar Road,Burringbar
