PLAN,DESCRIPTION,APPLICATION_REFERENCE,APPLICATION_NO,chargeAcPrefix,chargeAc,chargeAmount,VALUEFIRST,VALUEFIRST_LABEL,VALUE1_LABEL,VALUE1,VALUE2_LABEL,VALUE2,VALUE3_LABEL,VALUE3,VALUE4_LABEL,VALUE4,LikelyExpired,PROPERTY_NO,Purpose,transAcPrefix,transAc,transAmount
S94-05,S94-05 - Casual Open Space (Local),DA05/0195,418433,ZFRI,ZFRInfrastructure,4768,9.1532,ET (Structured),ET (Structured),9.1532,ET (Casual),9.1378,,,,,Expired,1705,Open Space,ZFDC,ZFDCCasualOS_5,-1192
S94-05,S94-05 - Casual Open Space (Local),DA05/0245,419091,ZFRI,ZFRInfrastructure,102,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,21960,Open Space,ZFDC,ZFDCCasualOS_5,-161
S94-05,S94-05 - Casual Open Space (Local),DA05/0253,419259,ZFRI,ZFRInfrastructure,160,0.9614,ET (Structured),ET (Structured),0.9614,ET (Casual),0.9581,,,,,Expired,15571,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/0291,419662,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,17089,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA05/0325,420125,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,36214,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA05/0378,420804,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,23150,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA05/0446,421403,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,12226,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA05/0471,421654,ZFRI,ZFRInfrastructure,257,,ET (Structured),ET (Structured),,ET (Casual),1.536,,,,,Expired,12706,Open Space,ZFDC,ZFDCCasualOS_5,-257
S94-05,S94-05 - Casual Open Space (Local),DA05/0542,422521,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,32419,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/0548,422557,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,80670,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/0572,422800,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,6503,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA05/0597,423198,ZFRI,ZFRInfrastructure,116,0.6924,ET (Structured),ET (Structured),0.6924,ET (Casual),0.6946,,,,,Expired,38682,Open Space,ZFDC,ZFDCCasualOS_5,-116
