FORMAT XLONE REPORT,DefnSheetName=Report Set Up,,,,,,,,,
h.SET,,,,,,,,,,
*,Account Number,Balance,Plan Description,Activity Description,Plan,Activity,Sector,Plan-Plan Description,DataDate,
LIST,12.10,-209.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44609.00,
LIST,12.10,-57.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44609.00,
LIST,12.10,-114.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44609.00,
LIST,12.10,-13.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44609.00,
LIST,12.10,-2660.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44609.00,
LIST,12.10,-228.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44609.00,
LIST,12.10,-50.16,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44609.00,
LIST,12.10,-213291.68,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44609.00,
LIST,13.11,-107.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-107.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-733.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-87.75,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-105.82,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-101.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-3003.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-1573.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-18.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-358.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-101.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-286.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-429.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-393.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-107.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-214.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-24.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-5005.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-143.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-429.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-94.38,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,13.11,-127763.91,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44609.00,
LIST,14.14,-108322.77,Mebbin Springs,Other,14,14,No Sector,14-Mebbin Springs,44609.00,
LIST,15.06,-900.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-1246.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-1246.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
