,,," $922,052,571 ",,,,,,,,,,,,,,,,,,
 Item No. , TRDS Item , Tweed Road Contribution Projects , TOTAL ,Column1, Active , Cost Estimate , Column2 , Construction Cost , Professional & Principal Costs ,, Preliminaries ,, Traffic Control ,, Contingency  ,, Escalation ,,,,
,,,,,,,,, Rate ,Cost ($), Rate ,Cost ($), Rate ,Cost ($), Rate ,Cost ($), Year , Rate ,Cost ($),,
81.01,41,Turnock St extension - Elrond Dr to Tweed Coast Rd (1060m)," $15,760,654 ",,Yes," $15,760,653.65 ",," $18,182,973.46 ",10%," $1,818,297 ",9%," $1,636,468 ",9%," $1,636,468 ",30.00%," $6,982,262 ",,0.00%, $-   ,,
81.00,LEGACY,Elrond Drive to Tweed Coast Road new road and roundabout Residential land (R1) acquisition (Elrond Dr), $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
81.00,LEGACY,Elrond Drive to Tweed Coast Road new road and roundabout Environmental land (E2) acquisition (Elrond Dr), $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
81.02,40,"Tweed Coast Rd, Turnock St and Cresent St intersection", $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
82.00,35,Tweed Coast Road Chinderah Motorway Interchange to Cudgen Road (Aquisition and initial road formation), $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
82.00,35,"Tweed Coast Rd - Pacific Motorway to Cudgen Rd upgrade (2200m) (includes Morton St, Crescent St and Golf Club intersections)"," $31,609,672 ",,Yes," $31,609,672.00 ",," $24,913,537.81 ",7%," $1,743,948 ",6%," $1,494,812 ",6%," $1,494,812 ",30.00%," $8,894,133 ",,0.00%, $-   ,,
82.01,31,Pacific Motorway and Tweed Coast Rd interchange upgrade," $5,163,818 ",,Yes,,," $2,942,346.56 ",13%," $382,505 ",11%," $323,658 ",11%," $323,658 ",30.00%," $1,191,650 ",,0.00%, $-   ,,
84.00,34,Tweed Coast Rd upgrade - Cudgen Rd to Grand Parade (3500m) (excluding Depot Rd intersection)," $72,679,176 ",,Yes,,," $46,980,721.51 ",7%," $3,288,651 ",6%," $2,818,843 ",6%," $2,818,843 ",30.00%," $16,772,118 ",,0.00%, $-   ,,
85.00,35,Bridge over Cudgen Ck Duplication, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
86.00,0,Tweed Coast Road Upgrade to 4 lanes Grand Parade to Tamarind Ave, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
86.01,42,Tweed Coast Rd and Depot Rd intersection upgrade," $1,840,995 ",,Completed,,," $1,049,000.00 ",13%," $136,370 ",11%," $115,390 ",11%," $115,390 ",30.00%," $424,845 ",,0.00%, $-   ,,
82.05,33,Upgrade intersection and drainage between Pacific Highway offramp and Morton Street, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
81.03,0,Upgrade Tweed Coast Road/ Crescent Street intersection (roundabout), $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
81.04,LEGACY,Waugh St and Phillip St intersection upgrade," $2,274,162 ",,Yes,,," $1,295,818.73 ",13%," $168,456 ",11%," $142,540 ",11%," $142,540 ",30.00%," $524,807 ",,0.00%, $-   ,,
107.00,46 & 47,Kellehers Rd upgrade - Pottsville Rd to Blackrocks estate," $80,297,167 ",,Yes,,," $51,905,085.60 ",7%," $3,633,356 ",6%," $3,114,305 ",6%," $3,114,305 ",30.00%," $18,530,116 ",,0.00%, $-   ,,
109.02,43,Pacific Motorway northbound ramps and Cudgera Creek Rd intersection upgrade," $1,621,526 ",,Yes,,," $866,200.00 ",16%," $138,592 ",15%," $129,930 ",13%," $112,606 ",30.00%," $374,198 ",,0.00%, $-   ,,
109.03,44,Pacific Motorway southbound ramps and Cudgera Creek Rd intersection upgrade," $1,621,526 ",,Yes,,," $866,200.00 ",16%," $138,592 ",15%," $129,930 ",13%," $112,606 ",30.00%," $374,198 ",,0.00%, $-   ,,
109.04,45,Cudgera Creek Rd and Pottsville Rd intersection upgrade," $2,544,132 ",,Yes,,," $1,256,361.46 ",13%," $163,327 ",11%," $138,200 ",11%," $138,200 ",50.00%," $848,044 ",,0.00%, $-   ,,
112.01,48,Cane Rd extension - Rous River Way to West End St connection (1360m) (including intersection with Cane Rd and Queensland Rd)," $13,587,186 ",,Yes," $13,587,186.00 ",," $17,697,760.00 ",10%," $1,769,776 ",9%," $1,592,798 ",9%," $1,592,798 ",30.00%," $6,795,940 ",,0.00%, $-   ,,
112.02,49,West End St extenstion - West End St to Rous River Way (570m) (including connection to Frances St)," $4,207,177 ",,Yes," $4,207,177.00 ",," $6,332,655.78 ",10%," $633,266 ",9%," $569,939 ",9%," $569,939 ",30.00%," $2,431,740 ",,0.00%, $-   ,,
112.04,EXCLUDE,North Arm Rd and Old Lismore Rd (Byangum Rd) Intersection, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
112.06,LEGACY,West End/Wentworth St Intersection, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
112.07,LEGACY,Widening Castlefield Drive for indented parking, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
112.08,LEGACY,Cane Rd upgrade - Queensland Rd to Tweed Valley Way (4800m) (including Tumbulgum Rd intersection upgrade)," $10,659,251 ",,Yes,,," $6,405,800.00 ",10%," $640,580 ",9%," $576,522 ",9%," $576,522 ",30.00%," $2,459,827 ",,0.00%, $-   ,,
112.11,LEGACY,Old Lismore Rd upgrade - North Arm Rd to Hundred Hills estate (220m)," $1,302,238 ",,Yes," $1,302,237.62 ",," $949,516.00 ",16%," $151,923 ",15%," $142,427 ",13%," $123,437 ",30.00%," $410,191 ",,0.00%, $-   ,,
112.12,50,Tweed Valley Way upgrade - River St to Condong Creek (1136m)," $1,869,709 ",,Yes,,," $998,776.00 ",16%," $159,804 ",15%," $149,816 ",13%," $129,841 ",30.00%," $431,471 ",,0.00%, $-   ,,
123.00,SEPARATE PLAN,Quarry Rd upgrade - Tweed Valley Way to Reserve Creek Rd (334m) ," $3,112,563 ",,Yes,,," $1,773,540.00 ",13%," $230,560 ",11%," $195,089 ",11%," $195,089 ",30.00%," $718,284 ",,0.00%, $-   ,,
123.01,SEPARATE PLAN,Reserve Creek Rd upgrade - Quarry Rd to Lundberg Rd extension (765m)," $8,612,847 ",,Yes,,," $5,175,990.00 ",10%," $517,599 ",9%," $465,839 ",9%," $465,839 ",30.00%," $1,987,580 ",,0.00%, $-   ,,
123.02,SEPARATE PLAN,Lundberg Dr extension - Reserve Creek Rd to Lundberg Dr (260m) ," $5,744,817 ",,Yes,,," $3,273,400.00 ",13%," $425,542 ",11%," $360,074 ",11%," $360,074 ",30.00%," $1,325,727 ",,0.00%, $-   ,,
123.03,SEPARATE PLAN,Reserve Creek Rd and Lundburg Dr Extension intersection upgrade (including bridge over Condong Creek)," $10,338,349 ",,Yes,,," $6,212,950.00 ",10%," $621,295 ",9%," $559,166 ",9%," $559,166 ",30.00%," $2,385,773 ",,0.00%, $-   ,,
123.04,51,Tweed Valley Way and Quarry Rd intersection upgrade (including bridge duplication)," $11,290,490 ",,Yes," $11,290,490.00 ",," $9,829,820.00 ",10%," $982,982 ",9%," $884,684 ",9%," $884,684 ",30.00%," $3,774,651 ",,0.00%, $-   ,,
123.05,SEPARATE PLAN,Quarry Rd and Reserve Ck Rd intersection upgrade," $1,947,043 ",,Yes," $1,947,043.00 ",," $1,555,600.00 ",13%," $202,228 ",11%," $171,116 ",11%," $171,116 ",30.00%," $630,018 ",,0.00%, $-   ,,
N/A,0,New Project Template, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
0.00,,0, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
0.00,,0, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
0.00,,0, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
0.00,,0, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
0.00,,0, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
0.00,,0, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
0.00,,0, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
0.00,,0, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
0.00,,0, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
0.00,,0, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
